Company_Code,Company_Name,Metric_Category,Metric_Name,Claimed_Value,Metric_Unit,Claim_Verified,Verification_Details,Discrepancy_Detected,Discrepancy_Level,Trust_Score,Risk_Score,Actual_Environmental_Score,Analysis_Date
WIPRO,Wipro,Governance,Board Size,9.0,Count,Reported,Governance metric: 9.0,False,None,6.0,1,2.0,2026-09-03
WIPRO,Wipro,Governance,Independent Directors Percentage,,%,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
WIPRO,Wipro,Governance,Female Directors Percentage,,%,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
WIPRO,Wipro,Governance,Board Meeting Frequency,,Count,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
WIPRO,Wipro,Governance,Audit Committee Size,,Count,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
WIPRO,Wipro,Governance,Ethics Policy Violations,26.0,Count,Reported,Governance metric: 26.0,False,None,6.0,1,2.0,2026-09-03
HCLTECH,HCL Technologies,Environmental,Total Energy Consumption,2030.0,GWh,Reported,Environmental metric: 2030.0,False,None,6.0,1,2.0,2026-09-03
HCLTECH,HCL Technologies,Environmental,Renewable Energy Percentage,50.0,%,Suspicious,Claims 50.0% renewable but poor env score (2.0/10),True,Medium,4.0,5,2.0,2026-09-03
HCLTECH,HCL Technologies,Environmental,Total Water Consumption,,KL,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
HCLTECH,HCL Technologies,Environmental,Water Recycled Percentage,,%,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
HCLTECH,HCL Technologies,Environmental,Total Waste Generated,,MT,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
HCLTECH,HCL Technologies,Environmental,Waste Recycled Percentage,,%,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
HCLTECH,HCL Technologies,Social,Total Employees,234496.0,Count,Reported,Social metric: 234496.0,False,None,6.0,1,2.0,2026-09-03
HCLTECH,HCL Technologies,Social,Female Employee Percentage,40.0,%,Reported,Social metric: 40.0,False,None,6.0,1,2.0,2026-09-03
HCLTECH,HCL Technologies,Social,Employee Turnover Rate,90.0,%,Reported,Social metric: 90.0,False,None,6.0,1,2.0,2026-09-03
HCLTECH,HCL Technologies,Social,Training Hours per Employee,,Hours,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
HCLTECH,HCL Technologies,Social,Health and Safety Incidents,,Count,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
HCLTECH,HCL Technologies,Social,CSR Expenditure,,Crores INR,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
HCLTECH,HCL Technologies,Governance,Board Size,10.0,Count,Reported,Governance metric: 10.0,False,None,6.0,1,2.0,2026-09-03
HCLTECH,HCL Technologies,Governance,Independent Directors Percentage,,%,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
HCLTECH,HCL Technologies,Governance,Female Directors Percentage,,%,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
HCLTECH,HCL Technologies,Governance,Board Meeting Frequency,,Count,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
HCLTECH,HCL Technologies,Governance,Audit Committee Size,,Count,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
HCLTECH,HCL Technologies,Governance,Ethics Policy Violations,25.0,Count,Reported,Governance metric: 25.0,False,None,6.0,1,2.0,2026-09-03
TECHM,Tech Mahindra,Environmental,Total Energy Consumption,1.0,GWh,Reported,Environmental metric: 1.0,False,None,6.0,1,2.0,2026-09-03
TECHM,Tech Mahindra,Environmental,Renewable Energy Percentage,,%,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
TECHM,Tech Mahindra,Environmental,Total Water Consumption,876.33,KL,Reported,Environmental metric: 876.33,False,None,6.0,1,2.0,2026-09-03
TECHM,Tech Mahindra,Environmental,Water Recycled Percentage,,%,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
TECHM,Tech Mahindra,Environmental,Total Waste Generated,2024.0,MT,Reported,Environmental metric: 2024.0,False,None,6.0,1,2.0,2026-09-03
TECHM,Tech Mahindra,Environmental,Waste Recycled Percentage,,%,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
TECHM,Tech Mahindra,Social,Total Employees,7827.0,Count,Reported,Social metric: 7827.0,False,None,6.0,1,2.0,2026-09-03
TECHM,Tech Mahindra,Social,Female Employee Percentage,,%,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
